Set_of_parameters_modelNumber	C_Value	Sigma_Value	Genes	Misclass	Misclass_Error	LogLoss	LogLoss_Error	GOF	GOF_Error	Accuracy0	Accuracy1	Accuracy0_err	Accuracy1_err	MCC
30deg0-20deg1-0deg2_1	1	1	NGF;ACTN1	0.805643	0.000000	0.743230	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-20deg1-0deg2_7	10	10	ETS2;BUB1;F13A1	0.805643	0.000000	2.626176	0.188088	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-20deg1-0deg2_15	100000	100	ETS2;BUB1;F13A1	0.805643	0.000000	5.402413	0.000141	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-20deg1-2deg2_15	100000	100	FXYD5;NGF;PAX4	0.805643	0.000000	0.961159	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-20deg1-4deg2_1	1	1	BDNF	0.194357	0.000000	0.531336	0.004945	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-20deg1-4deg2_2	10	1	VAMP5	0.805643	0.000000	0.892130	0.011609	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-20deg1-6deg2_7	10	10	GDNF;DAB2;INS	0.805643	0.000000	0.770991	0.005594	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-2deg1-0deg2_13	1000	100	AGER;CTGF;ITGBL1	0.194357	0.000000	0.642752	0.007396	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-2deg1-0deg2_19	10000	10000	DDR2	0.805643	0.000000	0.723266	0.006199	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-2deg1-0deg2_21	100000	100000	BAK1;DDR2	0.500000	0.101881	0.677408	0.020574	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
30deg0-2deg1-2deg2_10	10000	10	PRLR	0.805643	0.000000	0.751966	0.003981	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-2deg1-2deg2_11	100000	10	PRLR	0.805643	0.000000	0.746960	0.001619	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-4deg1-0deg2_3	100	1	PRKCA;ATP5B	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-4deg1-2deg2_1	1	1	PPA2	0.194357	0.000000	0.624365	0.004085	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-4deg1-4deg2_1	1	1	PPA2	0.194357	0.000000	0.624365	0.004085	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-4deg1-4deg2_15	100000	100	FXYD5	0.805643	0.000000	1.042782	0.004884	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-4deg1-6deg2_6	100000	1	MSC;QKI	0.805643	0.000000	0.725082	0.001655	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-6deg1-0deg2_6	100000	1	DDR2;CEACAM1;ELN	0.194357	0.000000	0.540175	0.011172	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-6deg1-0deg2_19	10000	10000	ERCC2;ATP5B	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-6deg1-0deg2_20	100000	10000	ERCC2;ATP5B	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-6deg1-0deg2_21	100000	100000	HNF4A;ATP5B	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-6deg1-2deg2_4	1000	1	PDIA3;SAMD9;VEGFC;C1QA	0.194357	0.000000	0.549568	0.011361	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-6deg1-2deg2_18	100000	1000	PDIA3;PNLIP	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-6deg1-4deg2_2	10	1	RPL10A	0.805643	0.000000	4.368105	1.022380	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-6deg1-4deg2_3	100	1	RPL10A	0.805643	0.000000	4.665925	0.831438	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-6deg1-4deg2_4	1000	1	RPL10A	0.805643	0.000000	5.203548	0.884108	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-6deg1-4deg2_5	10000	1	RPL10A	0.805643	0.000000	4.977384	0.819200	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-6deg1-4deg2_14	10000	100	SV2A;IL12A;BAK1	0.194357	0.000000	0.658104	0.009665	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-6deg1-4deg2_17	10000	1000	SV2A;BAK1;SYNPO	0.194357	0.000000	0.548615	0.012116	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-6deg1-4deg2_19	10000	10000	SV2A;SYNPO	0.194357	0.000000	0.600336	0.013969	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-6deg1-6deg2_13	1000	100	RREB1;NOX3;IFI16	0.805643	0.000000	1.061622	0.029215	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-6deg1-6deg2_17	10000	1000	RREB1;NOX3;VENTX	0.194357	0.000000	0.619866	0.006398	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-6deg1-6deg2_18	100000	1000	RREB1;NOX3;IFI16	0.805643	0.000000	1.061976	0.029117	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-8deg1-0deg2_1	1	1	RPL10A;ITIH4	0.805643	0.000000	0.743230	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-8deg1-0deg2_5	10000	1	C1QA	0.805643	0.000000	11.645228	1.789823	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-8deg1-0deg2_7	10	10	LAMB3;IGF1	0.805643	0.000000	0.743230	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-8deg1-10deg2_8	100	10	MRPS12;KCTD14	0.500000	0.052769	0.692948	0.001511	0.500000	0.052769	0.500000	0.500000	0.010753	0.062905	0
30deg0-8deg1-10deg2_19	10000	10000	DCHS2;BMP2K;ZIC4	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-8deg1-2deg2_5	10000	1	ADAM28;GRIK3;ELN	0.805643	0.000000	0.752007	0.003796	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-8deg1-4deg2_19	10000	10000	TAS2R16;CD40	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-8deg1-6deg2_7	10	10	KCNK12;MT1H;GAA;ERCC2;CPB2	0.805643	0.000000	0.963845	0.014939	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-8deg1-6deg2_14	10000	100	MT1H;PRKCA	0.500000	0.101881	0.698401	0.011258	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
